emer_season,emer_har,seed_stage,total_length,avg_temp,max_temp,min_temp,temp_range,total_precip,precip_airport_meteo,precip_airport,wet_day_freq,drought_days,hum,sunlight,NDVI_veg,NDVI_repro,NDVI_ripe,EVI_veg,EVI_repro,EVI_ripe,SAVI_veg,SAVI_repro,SAVI_ripe,yield
MAM,126,8,134,22.52,29.98,17,12.98,455.6000038,794.35,972.6,48,4,77.50798593,22301.48,0.306839825,0.793154936,0.494255105,0.260363357,0.618497523,0.405824609,0.228444436,0.508462818,0.369217412,7763.207547
MAM,125,7,132,22.51,29.98,17,12.98,444.9000042,937.8,1118.2,48,4,76.87226767,22467.8,0.39348584,0.831085657,0.673,0.362557959,0.626229982,0.54293627,0.290802843,0.556089854,0.501993792,6532.727273
SON,125,18,143,22.43,30.68,18.13,12.55,543.8000135,913.35,1064.4,45,7,79.10451949,24827.19,0.526354082,0.549536279,0.638432303,0.274975292,0.489042206,0.481654579,0.281546904,0.363410502,0.454069821,8613.366337
DJF,113,16,129,23.9,33.24,18.25,14.99,488.5000063,859.75,1106.9,38,6,74.17561983,26098.33,0.585853668,0.77443927,0.719367998,0.436783762,0.621110552,0.610405073,0.394118198,0.55874479,0.533725595,8095.555556
DJF,131,12,143,22.66,30.45,18.51,11.94,451.9999988,757.6,933.1,55,8,78.60386009,29914.89,0.371099589,0.761989523,0.685952596,0.263021621,0.605431583,0.470781696,0.240663632,0.527823567,0.488920424,7101.046512
DJF,120,18,138,23.9,33.24,18.25,14.99,508.5000065,859.75,1106.9,54,6,72.48327009,30263.04,0.613543,0.73026805,0.5922241,0.478895,0.558456377,0.622046,0.3603666,0.497040931,0.366576,8115.666667
MAM,124,9,133,23.1,30.77,17.71,13.06,413.7000003,592,692.6,58,9,78.39220997,30705.92,0.333248869,0.75919025,0.627737368,0.244057876,0.514133307,0.411459752,0.229693625,0.483498588,0.395180148,6444.578313
DJF,112,22,134,24.23,33.29,18.4,14.89,416.4000027,704.15,832,54,10,78.85658899,31730.53,0.625781089,0.822484358,0.750520546,0.441765192,0.644676585,0.574993913,0.402113916,0.574386284,0.538172081,8746.666667
SON,125,16,141,22.43,30.68,18.13,12.55,533.5000135,913.35,1064.4,47,8,78.99048564,32090.58,0.576067586,0.729430933,0.787655518,0.358370242,0.585170946,0.577873732,0.34183041,0.504816468,0.52662348,8992.105263
DJF,136,13,149,22.66,30.45,18.35,12.1,457.6999989,757.6,933.1,55,20,70.85459749,36522.36,0.723914664,0.906396148,0.665848231,0.517611471,0.680057175,0.567744256,0.473158466,0.627236416,0.463074006,9468.817204
MAM,131,10,141,23.03,32.23,17,15.23,563.9000037,844.8,958,49,18,65.32124669,36613.45,0.533876233,0.853231549,0.656536668,0.252210617,0.721336041,0.52108219,0.22906903,0.644492515,0.478510699,10142.12766
MAM,125,10,135,22.52,29.98,17,12.98,457.8000041,794.35,972.6,51,14,66.22058809,37362.51,0.320044347,0.889345231,0.792690762,0.324831646,0.783579629,0.697982071,0.303721813,0.680078231,0.589999894,8142.168675
MAM,127,8,135,22.51,29.98,17,12.98,455.8000041,937.8,1118.2,59,23,63.9117813,44956.98,0.592865233,0.768426251,0.708908074,0.530633793,0.664242388,0.5980435,0.450934591,0.575455776,0.522255142,9369.747899
