Emer_to_har,Seedling_stage,total_length,Max_temp,Min_temp,Temp_range,Total_precip_days,Wet_day_freq,Drought_days,hum,Sun_light,NDVI_veg,NDVI_repro,NDVI_ripe,EVI_veg,EVI_repro,EVI_ripe,SAVI_veg,SAVI_repro,SAVI_ripe,Rice_yield
140,8,148,32.23,17,15.23,621.900003,45,8,73.92499993,27684.57,0.507959988,0.825233102,0.69638303,0.306780641,0.667838561,0.589721554,0.289553608,0.578585684,0.507355251,9228.888889
133,8,141,32.23,17,15.23,576.8000047,47,6,72.82655818,28565.99,0.755900614,0.778118926,0.656981508,0.500381415,0.654164899,0.517452364,0.466274412,0.580651934,0.489825461,8362.222222
135,14,149,32.23,17,15.23,674.1999969,52,4,77.53969805,23168.81,0.50234632,0.845332842,0.572531,0.33426,0.660147785,0.54253,0.456322,0.59131854,0.4111732,9229.72973
132,14,146,32.23,17,15.23,662.1999978,49,8,77.76422754,25919.59,0.449933765,0.793112387,0.577865528,0.27672387,0.650469882,0.420318889,0.266620343,0.573183302,0.40933275,9076.782609
139,6,145,32.23,17.64,14.59,565.6999972,41,20,65.95944939,33035.9,0.564540036,0.876789514,0.645763649,0.394534544,0.592749906,0.529879503,0.422235433,0.482309318,0.485563571,8985
140,6,146,32.23,17.64,14.59,568.0999972,54,11,67.27894388,37087.9,0.505606707,0.874029259,0.686075166,0.395126583,0.783349735,0.563469619,0.381725926,0.667058162,0.513334392,9736.809816
131,10,141,33.29,18.4,14.89,415.7999973,51,7,81.93910252,26490.29,0.58216875,0.743300741,0.668089081,0.361949144,0.499250112,0.407622351,0.339852941,0.465798208,0.405443357,6750.84507
137,6,143,33.29,18.4,14.89,451.5000027,53,6,72.63753122,30449.17,0.511462,0.748485938,0.712299,0.487735,0.588194057,0.582234,0.4194424,0.522496097,0.433654,7648.732394
136,8,144,33.29,18.4,14.89,448.5000025,39,6,74.284375,25927.22,0.454465124,0.784710464,0.780360473,0.374256662,0.698022052,0.651783726,0.323850021,0.584476922,0.559029789,8129.577465
127,23,150,33.29,18.4,14.89,452.4000021,53,6,72.68501233,30507.74,0.610485,0.748462153,0.622444,0.412452,0.569609538,0.518453,0.40147772,0.508831803,0.3995674,7640.666667
121,14,135,34.35,16.9,17.45,503.9000065,60,6,74.43253951,30334.24,0.541146,0.825286057,0.711466,0.41467,0.759058962,0.4784461,0.475322,0.640738335,0.444736,9615.873016
124,16,140,34.47,16.9,17.57,512.2000062,53,22,62.33658374,43353.64,0.646900669,0.866992278,0.724398,0.488825953,0.790780452,0.6913045,0.448079937,0.667141461,0.582362,10336.55738
123,16,139,34.47,16.9,17.57,611.800004,49,8,78.10144933,34716.96,0.458710817,0.844424418,0.62345,0.332782136,0.748149282,0.59235,0.308619803,0.64236496,0.523534,10276.69903
128,12,140,34.37,16.9,17.47,572.7000048,40,4,74.67906321,26945.12,0.690931812,0.821960387,0.579179678,0.478891687,0.682537733,0.532096319,0.429994856,0.652115967,0.435549995,9385.276074
