Emer_to_har,Seedling_stage,total_length,Max_temp,Min_temp,Temp_range,Total_precip_days,Wet_day_freq,Drought_days,hum,Sun_light,NDVI_veg,NDVI_repro,NDVI_ripe,EVI_veg,EVI_repro,EVI_ripe,SAVI_veg,SAVI_repro,SAVI_ripe,Rice_yield
137,18,155,30.45,18.35,12.1,474.7999928,48,8,79.30884229,32144.64,0.541798055,0.742431771,0.743903022,0.375042706,0.569316237,0.561595016,0.334995121,0.509925302,0.515239499,8824.324324
143,12,155,30.45,18.51,11.94,506.5999987,47,6,71.30657171,28820.78,0.516335902,0.822922286,0.711875908,0.380146939,0.672088606,0.555034873,0.336395751,0.613379866,0.507150002,8227.906977
142,11,153,30.45,18.51,11.94,503.1999985,45,23,63.76707646,38475.86,0.515555574,0.872728341,0.732087063,0.427964522,0.682195151,0.556161715,0.350874049,0.628470775,0.522512,9134.883721
124,37,161,30.45,18.51,11.94,501.999999,42,8,79.06652662,30375.72,0.539555222,0.765772396,0.710269502,0.375042706,0.618266657,0.531725433,0.334995121,0.541437626,0.494854331,9308.474576
130,15,145,29.18,18.51,10.67,449.3999978,51,10,78.22672411,37688.3,0.781916647,0.845516532,0.683439614,0.67147935,0.672377972,0.489923897,0.567074181,0.596154077,0.457249058,8966.233766
132,10,142,30.5,17.71,12.79,406.4999974,48,9,78.46780306,34515.84,0.799742651,0.847573955,0.534788744,0.648651415,0.654126564,0.370777719,0.559982387,0.584862895,0.363723504,9951.807229
135,8,143,30.77,17.71,13.06,474.0000009,52,9,77.41233318,29031,0.396192229,0.762606154,0.596099338,0.250551144,0.598039803,0.4756,0.236747749,0.52565445,0.423236458,7125.531915
133,8,141,30.77,17.71,13.06,459.6999997,47,8,78.68847659,32881.39,0.796529903,0.824305916,0.586463762,0.568237961,0.611119226,0.502948229,0.512534151,0.55649861,0.450069298,9670.212766
130,8,138,30.77,17.71,13.06,454.0999997,45,14,69.8711805,30766.87,0.751581993,0.823208982,0.569795819,0.60488314,0.680391817,0.44847344,0.520149505,0.598135683,0.443557072,9138.297872
128,8,136,30.77,17.71,13.06,446.2999994,53,6,71.56985291,33065.34,0.650015992,0.784057666,0.64751085,0.46576287,0.597565255,0.471956192,0.421523817,0.547072408,0.442170461,7355.319149
138,10,148,31.59,17.71,13.88,551.7999995,50,9,73.81630424,26754.45,0.544593028,0.725064724,0.5892353,0.348338454,0.579515928,0.487245,0.322132694,0.512559937,0.519357,7779.487179
136,12,148,31.59,17.71,13.88,550.5999994,53,7,82.02165361,27132.58,0.6611305,0.798675661,0.5015842,0.396033,0.582945502,0.587666,0.488964,0.535117776,0.489952,9347.075209
130,11,141,31.59,17.71,13.88,522.5999978,60,6,74.17730471,29267.99,0.51333502,0.792895563,0.5924772,0.544242,0.698845388,0.5011342,0.40335647,0.572272711,0.395472,10099.72145
137,10,147,31.59,17.71,13.88,545.8999989,42,22,69.08891368,34030.92,0.528519513,0.804255924,0.757447412,0.41617603,0.609748049,0.653777004,0.360285507,0.538808645,0.546571503,8551.351351
142,21,163,31.59,17.71,13.88,671.1000045,54,7,82.1124339,26609.2,0.6844924,0.826331042,0.489235,0.520459,0.633439754,0.52990451,0.4833557,0.571084248,0.426583688,8012.321429
133,20,153,31.59,17.71,13.88,640.1000047,50,7,82.15410051,26514.24,0.765100168,0.765611898,0.710037493,0.508737576,0.613484781,0.521689436,0.469473419,0.533259511,0.49300318,9118.181818
135,20,155,31.59,17.71,13.88,646.1000048,58,6,73.56057904,30817.72,0.52456,0.796373201,0.69425,0.45244,0.656876489,0.47265,0.38972,0.576340761,0.43657,8433.884298
