Emer_to_har,Seedling_stage,total_length,Max_temp,Min_temp,Temp_range,Total_precip_days,Wet_day_freq,Drought_days,hum,Sun_light,NDVI_veg,NDVI_repro,NDVI_ripe,EVI_veg,EVI_repro,EVI_ripe,SAVI_veg,SAVI_repro,SAVI_ripe,Rice_yield
130,9,139,33.78,18.24,15.54,712.8000188,51,7,82.22211774,27895.55,0.698767712,0.780283201,0.735172437,0.513270358,0.615014918,0.623941796,0.462843925,0.544354702,0.538383985,7590
130,9,139,33.55,18.24,15.31,682.0000162,50,8,78.0663581,33822.16,0.41320365,0.808398353,0.582375,0.328437678,0.715603908,0.613423,0.291000019,0.613737293,0.492415,9002.830189
130,8,138,33.55,18.24,15.31,678.1000159,55,4,77.19503535,27144.72,0.55133,0.808102472,0.6288401,0.48577,0.676576542,0.489952,0.40473,0.590415983,0.4536,8352.45283
130,11,141,33.55,18.24,15.31,693.8000163,53,6,72.71052623,29935.36,0.499151,0.71636717,0.6411042,0.489941,0.517448033,0.501777,0.583252,0.474033629,0.47457436,6768.571429
135,19,154,33.55,17.52,16.03,777.2000165,60,6,74.85445186,29273.74,0.492255,0.857071096,0.613391,0.499622,0.742275191,0.499502,0.395562,0.660880992,0.4809,8032.673267
137,18,155,33.55,17.52,16.03,776.6000164,55,10,79.43897628,32222.89,0.533131307,0.790204741,0.610808286,0.319865766,0.530546328,0.47274888,0.312804801,0.489343798,0.383880872,7127.578947
130,11,141,33.55,18.24,15.31,725.4,57,6,73.19761015,29935.36,0.523422,0.723184292,0.657724,0.51135,0.536771382,0.4838836,0.488346,0.488347482,0.467477,7162.666667
132,10,142,33.55,18.24,15.31,758.4000167,51,10,79.43897628,31264.51,0.580255401,0.670436083,0.647081991,0.317621508,0.454913219,0.537743842,0.319607631,0.417319856,0.446976409,6626.829268
130,11,141,33.55,17.52,16.03,705.200016,47,8,77.94623652,32357.85,0.297919894,0.769319201,0.769432961,0.178656881,0.611531346,0.609487408,0.181132002,0.532022669,0.559227676,8462.162162
152,12,164,32.92,17.52,15.4,724.1000112,52,5,78.41207357,25897.67,0.698787752,0.908804605,0.576796462,0.553301152,0.762399595,0.447732814,0.497767706,0.67374465,0.429553311,8378.93617
130,8,138,32.92,17.52,15.4,593.3000138,61,11,78.74551271,30462.49,0.505802788,0.791461896,0.57,0.343346604,0.596482261,0.48,0.302018372,0.524292124,0.32,8829.042553
151,9,160,32.92,17.52,15.4,702.5000114,51,9,73.87001415,27301.34,0.423328867,0.737119633,0.7103889,0.394780914,0.558935697,0.578329,0.358485825,0.502573329,0.387935,7593.82716
139,9,148,32.92,17.52,15.4,646.000006,49,24,70.32519522,36701.94,0.503500172,0.753726516,0.645162568,0.372523281,0.559334233,0.509411616,0.331894524,0.493767988,0.470701581,7083.870968
144,9,153,32.92,17.52,15.4,674.2000071,48,8,73.39519237,32332,0.622472552,0.836745466,0.542134477,0.412264371,0.612801784,0.393847407,0.395258216,0.56625979,0.380487401,7895.714286
145,9,154,32.92,17.52,15.4,673.6000051,55,7,79.65135309,23557,0.483557337,0.851406078,0.7396546,0.292267988,0.666101388,0.543410844,0.285746639,0.58353,0.517094271,7728.571429
146,9,155,32.92,17.52,15.4,676.1000049,53,8,78.72899441,28611.43,0.450871506,0.821657782,0.58,0.319920944,0.525338922,0.51806211,0.290776798,0.508319985,0.41,7700
132,9,141,32.92,17.52,15.4,587.9000012,50,7,82.76858966,28752.52,0.527817031,0.807275569,0.517451072,0.344862482,0.483016084,0.397640876,0.322938732,0.464954555,0.339506017,7177.972973
143,9,152,32.92,15.81,17.11,622.200004,58,14,76.81186852,30169.3,0.586290394,0.856316477,0.712777275,0.385714002,0.71758625,0.508431871,0.363167171,0.628104453,0.492740543,8781.368421
144,9,153,32.92,15.81,17.11,622.200004,56,10,75.75502357,33152.56,0.522406175,0.675228468,0.630641089,0.3561,0.454886277,0.408720418,0.31673,0.426035511,0.403773268,6002.5
143,9,152,32.92,15.81,17.11,635.6000061,53,7,78.49647412,27427.85,0.437783172,0.860718594,0.77959753,0.314539326,0.708582838,0.475758891,0.274118917,0.599973954,0.459689666,10777.52137
141,9,150,32.92,15.81,17.11,632.2000059,48,18,72.55952368,38154.57,0.643066575,0.800534488,0.389188382,0.449853717,0.609563013,0.330088943,0.413699826,0.551884611,0.282385037,8366.666667
130,9,139,30.45,15.81,14.64,471.3000002,52,8,69.51284454,36116.89,0.564303978,0.847315852,0.384570071,0.419355314,0.63794403,0.263563699,0.376809314,0.586363771,0.258370224,8687.61194
132,11,143,30.45,15.81,14.64,480.1,51,7,78.7646664,26416.51,0.585147328,0.769839108,0.761782658,0.453260785,0.644758231,0.507213286,0.388088797,0.562386775,0.48765934,8998.387097
143,11,154,30.45,15.81,14.64,504.1999993,55,20,70.79745347,36467.15,0.734149511,0.90978604,0.687924059,0.514878695,0.702642709,0.516889956,0.471656775,0.643209525,0.481701145,9089.010989
134,11,145,30.45,15.81,14.64,492.6,45,20,68.23642688,45555.22,0.737709942,0.698736471,0.747176978,0.454829459,0.521312919,0.483044158,0.44322814,0.446953529,0.458476122,8677.419355
144,10,154,30.45,15.81,14.64,493.4999963,48,6,77.64440186,28244.32,0.443415502,0.856035666,0.6823555,0.36615177,0.694167573,0.6199452,0.309477887,0.609372466,0.483356,8749.6
149,10,159,30.45,15.81,14.64,511.8999973,48,21,67.67548672,47866.54,0.552749746,0.748904541,0.64113672,0.320925809,0.555443022,0.388648785,0.322127049,0.491488048,0.388345282,9320
128,14,142,30.45,18.35,12.1,445.5999926,45,5,77.83469931,25092.71,0.391895594,0.856989948,0.622852,0.296206643,0.704526306,0.4911419,0.263651391,0.621541992,0.4489,7855.339806
128,23,151,30.45,18.35,12.1,467.5999928,47,21,66.43266662,43465.64,0.510073605,0.720131128,0.678951056,0.273636862,0.593649117,0.509611576,0.280615621,0.507768306,0.461261832,9550.485437
