emer_season,emer_har,seed_stage,total_length,avg_temp,max_temp,min_temp,temp_range,total_precip,precip_airport_meteo,precip_airport,wet_day_freq,drought_days,hum,sunlight,NDVI_veg,NDVI_repro,NDVI_ripe,EVI_veg,EVI_repro,EVI_ripe,SAVI_veg,SAVI_repro,SAVI_ripe,yield
DJF,111,20,131,23.97,33.29,18.77,14.52,432.2000056,824,1075.2,47,5,82.99187847,20594.38,0.685380272,0.772979888,0.76878348,0.451788624,0.546972814,0.552957478,0.422889875,0.499815524,0.523814791,7316.129032
DJF,110,16,126,23.99,33.29,18.77,14.52,459.7000065,784.95,1050.8,47,6,82.91001392,21637.05,0.769446713,0.794306995,0.738913654,0.484324469,0.641259835,0.539742187,0.457353957,0.554117884,0.515339687,8296.666667
MAM,120,8,128,22.52,29.3,17,12.3,477.0000058,794.35,972.6,46,3,77.50630232,22133.6,0.321173715,0.767668587,0.481622383,0.252448923,0.561301013,0.428680064,0.226081893,0.501560422,0.377926985,7376.25
MAM,126,6,132,22.51,29.98,17,12.98,442.0000042,937.8,1118.2,48,4,76.87226767,22467.8,0.367258118,0.798243394,0.675,0.281312398,0.638411232,0.480135305,0.240579087,0.556399721,0.465252254,7420.512821
JJA,135,20,155,24.22,32.92,17.52,15.4,684.2000099,774.95,753.8,54,6,79.93390786,23019.33,0.408290917,0.851096101,0.688311187,0.261229043,0.645064915,0.484930767,0.246995955,0.579406537,0.472645973,7824.552846
JJA,133,32,165,22.83,31.59,17.71,13.88,671.5000113,928.95,1036,55,6,79.93390786,23019.33,0.452959884,0.861671242,0.714486206,0.284978212,0.675077578,0.536294456,0.275561741,0.600065558,0.510703737,8760.169492
MAM,122,4,126,24.58,32.92,17.52,15.4,564.4000116,664.25,611.9,59,7,79.18566685,24419.93,0.505237083,0.833362546,0.637087903,0.32643214,0.62990354,0.450175432,0.312015563,0.567462682,0.440937991,6404.545455
MAM,120,9,129,23.1,30.77,17.71,13.06,404.4000013,592,692.6,44,6,74.33812676,24469.62,0.485254463,0.811503549,0.724332531,0.364635735,0.706236815,0.642557476,0.352352353,0.597212634,0.552409026,8640.963855
SON,116,19,135,22.43,30.68,18.13,12.55,513.4000138,913.35,1064.4,49,7,79.12644901,24498.34,0.392969038,0.633846606,0.483135708,0.250714742,0.51721378,0.344755973,0.230131815,0.416669362,0.329816941,9318.888889
DJF,124,27,151,22.17,30.68,17.83,12.85,569.7000043,934.9,1222.2,50,6,77.27399984,24914.94,0.366986293,0.872461223,0.493414,0.332041784,0.6896576,0.604419,0.287835995,0.612944059,0.349441,6091.307692
DJF,119,31,150,22.17,30.68,17.83,12.85,571.0000053,934.9,1222.2,50,8,78.12052334,25009.75,0.483031359,0.795622099,0.5649112,0.29058643,0.632882,0.394595399,0.280267766,0.565771372,0.387764302,7604.62585
MAM,110,11,121,23.9,34.24,16.9,17.34,453.7000059,640,713.2,50,7,82.39393944,25050.1,0.6791131,0.82869118,0.6512993,0.5011329,0.638365932,0.613562,0.4355501,0.580325,0.489936,8118.446602
MAM,115,5,120,23.57,32.22,18.25,13.97,491.9000106,783.7,931.6,51,7,82.42281423,25240.31,0.593362,0.844258714,0.5329951,0.514632,0.732596313,0.3988325,0.55133,0.6111,0.4325524,8802.758621
DJF,112,25,137,23.97,33.29,18.77,14.52,408.9000047,824,1075.2,49,6,81.74544263,25263.16,0.809316971,0.842848404,0.465256402,0.599442959,0.688680275,0.294962416,0.537857895,0.598951591,0.30924881,8019.230769
SON,127,11,138,22.23,30.45,15.81,14.64,466.5000003,535.85,569.6,45,7,79.39775892,25445.97,0.623519954,0.773597037,0.579254438,0.409838249,0.725370175,0.503234203,0.380844011,0.570162958,0.448684389,9852.631579
JJA,125,34,159,22.94,31.59,17.71,13.88,632.1000087,918.6,979.8,53,5,78.42133344,25613.9,0.695309232,0.932923752,0.541394917,0.54422577,0.793580217,0.429647868,0.466470892,0.698230429,0.409845356,10326.54867
MAM,129,9,138,23.29,32.23,17,15.23,593.900002,677.55,714.4,41,8,73.49886356,25832.97,0.550533896,0.793385783,0.657593961,0.34269164,0.589217621,0.586683653,0.324222989,0.525694848,0.51112843,7735.521236
SON,115,20,135,23.01,32.23,17.64,14.59,502.199993,533.15,525,46,6,74.2420139,25937.93,0.47135026,0.784446242,0.669239425,0.387646074,0.685660462,0.541745023,0.308125342,0.578993802,0.478513533,7367.948718
